Park Place,luxury,student
Vertex,budget,student
Rise,luxury,student
Oliv,luxury,student
Apollo,luxury,student
Nine20,luxury,student
Boulevard 1900,budget,adult
District,luxury,student
Union,luxury,student
Sol,budget,adult
Nexa,luxury,student
